Code,Area,Year,Qualifications of working age population (16-64),number,denominator,percent,confidence
E13000001,Inner London,2004,NVQ4+,753900,2024200,37.2,1.1
E13000002,Outer London,2004,NVQ4+,817900,2901700,28.2,0.9
E13000001,Inner London,2004,NVQ3 only,198700,2024200,9.8,0.7
E13000002,Outer London,2004,NVQ3 only,378300,2901700,13,0.6
E13000001,Inner London,2004,Trade Apprenticeships,41000,2024200,2,0.3
E13000002,Outer London,2004,Trade Apprenticeships,126900,2901700,4.4,0.4
E13000001,Inner London,2004,NVQ2 only,183300,2024200,9.1,0.6
E13000002,Outer London,2004,NVQ2 only,406600,2901700,14,0.7
E13000001,Inner London,2004,NVQ1 only,160500,2024200,7.9,0.6
E13000002,Outer London,2004,NVQ1 only,373200,2901700,12.9,0.6
E13000001,Inner London,2004,with other qualifications,360900,2024200,17.8,0.8
E13000002,Outer London,2004,with other qualifications,415100,2901700,14.3,0.7
E13000001,Inner London,2004,no qualifications,325800,2024200,16.1,0.8
E13000002,Outer London,2004,no qualifications,383700,2901700,13.2,0.6
E13000001,Inner London,2013,NVQ4+,1313100,2383900,55.1,1.1
E13000002,Outer London,2013,NVQ4+,1448100,3316400,43.7,1
E13000001,Inner London,2013,NVQ3 only,280000,2383900,11.7,0.7
E13000002,Outer London,2013,NVQ3 only,482500,3316400,14.6,0.7
E13000001,Inner London,2013,Trade Apprenticeships,20600,2383900,0.9,0.2
E13000002,Outer London,2013,Trade Apprenticeships,68100,3316400,2.1,0.3
E13000001,Inner London,2013,NVQ2 only,210800,2383900,8.8,0.6
E13000002,Outer London,2013,NVQ2 only,463500,3316400,14,0.7
E13000001,Inner London,2013,NVQ1 only,155400,2383900,6.5,0.6
E13000002,Outer London,2013,NVQ1 only,340000,3316400,10.3,0.6
E13000001,Inner London,2013,with other qualifications,188200,2383900,7.9,0.6
E13000002,Outer London,2013,with other qualifications,275600,3316400,8.3,0.5
E13000001,Inner London,2013,no qualifications,215800,2383900,9.1,0.6
E13000002,Outer London,2013,no qualifications,238500,3316400,7.2,0.5
E13000001,Inner London,2014,NVQ4+,1356900,2427000,55.9,1.1
E13000002,Outer London,2014,NVQ4+,1479100,3344300,44.2,1
E13000001,Inner London,2014,NVQ3 only,298100,2427000,12.3,0.7
E13000002,Outer London,2014,NVQ3 only,502400,3344300,15,0.7
E13000001,Inner London,2014,Trade Apprenticeships,23000,2427000,0.9,0.2
E13000002,Outer London,2014,Trade Apprenticeships,66800,3344300,2,0.3
E13000001,Inner London,2014,NVQ2 only,223700,2427000,9.2,0.6
E13000002,Outer London,2014,NVQ2 only,449800,3344300,13.4,0.7
E13000001,Inner London,2014,NVQ1 only,148800,2427000,6.1,0.5
E13000002,Outer London,2014,NVQ1 only,304900,3344300,9.1,0.6
E13000001,Inner London,2014,with other qualifications,175900,2427000,7.2,0.6
E13000002,Outer London,2014,with other qualifications,287600,3344300,8.6,0.5
E13000001,Inner London,2014,no qualifications,200600,2427000,8.3,0.6
E13000002,Outer London,2014,no qualifications,253700,3344300,7.6,0.5
E13000001,Inner London,2015,NVQ4+,1403000,2466600,56.9,1.1
E13000002,Outer London,2015,NVQ4+,1508000,3375200,44.7,1
E13000001,Inner London,2015,NVQ3 only,296600,2466600,12,0.8
E13000002,Outer London,2015,NVQ3 only,523100,3375200,15.5,0.7
E13000001,Inner London,2015,Trade Apprenticeships,18100,2466600,0.7,0.2
E13000002,Outer London,2015,Trade Apprenticeships,59700,3375200,1.8,0.3
E13000001,Inner London,2015,NVQ2 only,213900,2466600,8.7,0.7
E13000002,Outer London,2015,NVQ2 only,425400,3375200,12.6,0.7
E13000001,Inner London,2015,NVQ1 only,148100,2466600,6,0.6
E13000002,Outer London,2015,NVQ1 only,317500,3375200,9.4,0.6
E13000001,Inner London,2015,with other qualifications,205600,2466600,8.3,0.6
E13000002,Outer London,2015,with other qualifications,293100,3375200,8.7,0.6
E13000001,Inner London,2015,no qualifications,181300,2466600,7.3,0.6
E13000002,Outer London,2015,no qualifications,248500,3375200,7.4,0.5
E13000001,Inner London,2016,NVQ4+,1454700,2507300,58,1.2
E13000002,Outer London,2016,NVQ4+,1620400,3408100,47.5,1
E13000001,Inner London,2016,NVQ3 only,306000,2507300,12.2,0.8
E13000002,Outer London,2016,NVQ3 only,506800,3408100,14.9,0.7
E13000001,Inner London,2016,Trade Apprenticeships,18500,2507300,0.7,0.2
E13000002,Outer London,2016,Trade Apprenticeships,50600,3408100,1.5,0.2
E13000001,Inner London,2016,NVQ2 only,211000,2507300,8.4,0.7
E13000002,Outer London,2016,NVQ2 only,427300,3408100,12.5,0.7
E13000001,Inner London,2016,NVQ1 only,147100,2507300,5.9,0.6
E13000002,Outer London,2016,NVQ1 only,301700,3408100,8.9,0.6
E13000001,Inner London,2016,with other qualifications,199300,2507300,7.9,0.7
E13000002,Outer London,2016,with other qualifications,283800,3408100,8.3,0.6
E13000001,Inner London,2016,no qualifications,170700,2507300,6.8,0.6
E13000002,Outer London,2016,no qualifications,217500,3408100,6.4,0.5
